reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,source,keyword
ebb9cc57-d15e-4c05-b237-3258baab6db1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,verif wajah susah sekali tolong di perbaiki padahal cmn makeup dikit ajaa kyk udh oplas satu muka.,2,0,2.7.20,2025-12-30 22:10:37+00:00,"Hai, Kak Putri. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-30 23:25:54,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
49bec8da-e761-4087-a7d7-6ba98460c869,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"vermuk gagal mulu, makin lama makin gajelas padahal wajah sesuai nomer juga sesuai, hapus dari playstore aja aplikasinya makin kesini makin ga jelas",1,0,2.7.20,2025-12-30 16:00:47+00:00,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-30 16:58:49,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
cb89047d-1a00-458f-8603-07b6b89677b6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,buat verifikasi wajah jadi susah bgt.padahal terang tapi tetep aja ngga bisa abis di update malah makin parah,1,0,2.7.20,2025-12-28 13:22:21+00:00,"Hai, Kak Ade. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-28 13:52:18,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
06dbd127-974b-4987-a9a8-a2d0b5cde6cd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gak jelas mau verif muka trs aja bilang ponsel bergoyang.. gaje lu blu,1,0,2.7.20,2025-12-27 18:40:14+00:00,"Hai, Kak asih. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Mohon pastikan perangkat sudah update versi terbaru dan jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",2025-12-27 19:10:09,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
c76bab34-8786-4190-8d60-dd610d2e3b8c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"knpa verifikasi wajah susah amat, dah berpuluh"" kali gak bisa, dah di turutin selalu gak bisa🤨",1,0,2.7.20,2025-12-26 13:03:58+00:00,"Hai, Kak Rizal. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi memenuhi kebutuhan perbankan Kakak. Terkait kendala tersebut boleh infokan detail kendala serta kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.
",2025-12-26 14:01:22,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
9bf37e23-acea-41a4-a517-5cd392b8b99e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"verifikasi wajah ga jelas, perasaan cahaya udah terang + kepala dalam lingkaran, tetep aja gagal.",1,0,2.7.0,2025-12-26 03:29:29+00:00,"Hai, Kak Anam. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-26 04:34:31,2.7.0,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
44847100-54ca-463c-b812-56c4b50a6341,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiba-tiba ke log out sendiri dan ketika melakukan verifikasi wajah selalu gagal padahal sudah mengikuti arahan,1,0,2.7.10,2025-12-25 14:51:14+00:00,"Hai, Kak Dwi. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.
",2025-12-25 14:57:43,2.7.10,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
0e100b9b-6bf7-42ba-8972-c85165ef02d5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini gimana sih, setelah log out mau masuk harus verifikasi muka sampai 10x coba gagal mulu dengan alasan smartphone bergoyang goyang terus dah. udah ganti hp juga sama aja tetep ga bisa verifikasi muka dengan alasan yang sama.",1,0,,2025-12-24 08:42:16+00:00,"Hai, Kak Rintang. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-24 09:29:15,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
8a9c0be1-d544-4daa-acfb-ac5216b7b5b0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,susah bgt buat verifikasi wajah. udah berkali2 ganti tempat jga masih gagal. ganti device 2x juga gagal. maaf ya ku ganti bintangin 1 pdhl kmrn udah bagus,1,0,,2025-12-23 10:42:00+00:00,"Hai, Kak Alee. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-23 12:01:46,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
cab4f252-76ee-4be8-9285-cbf6a817bcbe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi Jelek. verifikasi wajah gak beres2,1,0,,2025-12-21 14:01:38+00:00,"Hai, Kak Adit. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-21 15:08:06,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv,vermuk
